Signal Type: RIP_Thorax_Type;
Start Time: 26/04/2023 19:08:36;
Sample Rate: 32;
Length: 9992;
Unit: ;
;
Data:;
19:35:23,000;39
19:35:23,031;38
19:35:23,062;36
19:35:23,094;34
19:35:23,125;33
19:35:23,156;31
19:35:23,187;30
19:35:23,219;29
19:35:23,250;27
19:35:23,281;26
19:35:23,312;25
19:35:23,344;24
19:35:23,375;22
19:35:23,406;20
19:35:23,437;18
19:35:23,469;16
19:35:23,500;13
19:35:23,531;10
19:35:23,562;6
19:35:23,594;2
19:35:23,625;-3
19:35:23,656;-8
19:35:23,687;-14
19:35:23,719;-21
19:35:23,750;-28
19:35:23,781;-35
19:35:23,812;-43
19:35:23,844;-51
19:35:23,875;-59
19:35:23,906;-68
19:35:23,938;-76
19:35:23,969;-85
19:35:24,000;-93
19:35:24,031;-101
19:35:24,062;-109
19:35:24,094;-117
19:35:24,125;-124
19:35:24,156;-130
19:35:24,188;-136
19:35:24,219;-142
19:35:24,250;-147
19:35:24,281;-152
19:35:24,312;-156
19:35:24,344;-160
19:35:24,375;-163
19:35:24,406;-165
19:35:24,438;-168
19:35:24,469;-169
19:35:24,500;-170
19:35:24,531;-171
19:35:24,562;-171
19:35:24,594;-171
19:35:24,625;-170
19:35:24,656;-168
19:35:24,687;-166
19:35:24,719;-163
19:35:24,750;-160
19:35:24,781;-156
19:35:24,812;-152
19:35:24,844;-147
19:35:24,875;-141
19:35:24,906;-135
19:35:24,937;-128
19:35:24,969;-121
19:35:25,000;-113
19:35:25,031;-104
19:35:25,062;-96
19:35:25,094;-86
19:35:25,125;-77
19:35:25,156;-68
19:35:25,187;-58
19:35:25,219;-48
19:35:25,250;-38
19:35:25,281;-29
19:35:25,312;-19
19:35:25,344;-10
19:35:25,375;-1
19:35:25,406;8
19:35:25,437;16
19:35:25,469;24
19:35:25,500;31
19:35:25,531;38
19:35:25,562;44
19:35:25,594;50
19:35:25,625;55
19:35:25,656;59
19:35:25,688;63
19:35:25,719;65
19:35:25,750;68
19:35:25,781;69
19:35:25,812;70
19:35:25,844;69
19:35:25,875;69
19:35:25,906;67
19:35:25,938;65
19:35:25,969;62
19:35:26,000;58
19:35:26,031;54
19:35:26,062;50
19:35:26,094;45
19:35:26,125;40
19:35:26,156;35
19:35:26,187;29
19:35:26,219;24
19:35:26,250;19
19:35:26,281;13
19:35:26,312;8
19:35:26,344;4
19:35:26,375;-1
19:35:26,406;-5
19:35:26,437;-9
19:35:26,469;-12
19:35:26,500;-15
19:35:26,531;-18
19:35:26,562;-21
19:35:26,594;-23
19:35:26,625;-25
19:35:26,656;-28
19:35:26,687;-30
19:35:26,719;-32
19:35:26,750;-34
19:35:26,781;-36
19:35:26,812;-38
19:35:26,844;-40
19:35:26,875;-43
19:35:26,906;-45
19:35:26,937;-48
19:35:26,969;-50
19:35:27,000;-53
19:35:27,031;-55
19:35:27,062;-57
19:35:27,094;-59
19:35:27,125;-61
19:35:27,156;-62
19:35:27,188;-63
19:35:27,219;-63
19:35:27,250;-63
19:35:27,281;-62
19:35:27,312;-60
19:35:27,344;-58
19:35:27,375;-56
19:35:27,406;-53
19:35:27,438;-49
19:35:27,469;-45
19:35:27,500;-40
19:35:27,531;-35
19:35:27,562;-30
19:35:27,594;-25
19:35:27,625;-20
19:35:27,656;-15
19:35:27,688;-10
19:35:27,719;-5
19:35:27,750;-1
19:35:27,781;3
19:35:27,812;7
19:35:27,844;11
19:35:27,875;14
19:35:27,906;17
19:35:27,937;20
19:35:27,969;22
19:35:28,000;24
19:35:28,031;26
19:35:28,062;28
19:35:28,094;29
19:35:28,125;31
