Signal Type: RIP_Thorax_Type;
Start Time: 26/04/2023 19:08:36;
Sample Rate: 32;
Length: 9992;
Unit: ;
;
Data:;
19:36:01,875;99
19:36:01,906;87
19:36:01,937;76
19:36:01,969;65
19:36:02,000;54
19:36:02,031;43
19:36:02,062;33
19:36:02,094;23
19:36:02,125;14
19:36:02,156;5
19:36:02,188;-3
19:36:02,219;-10
19:36:02,250;-17
19:36:02,281;-23
19:36:02,312;-28
19:36:02,344;-32
19:36:02,375;-35
19:36:02,406;-38
19:36:02,438;-40
19:36:02,469;-41
19:36:02,500;-42
19:36:02,531;-42
19:36:02,562;-41
19:36:02,594;-40
19:36:02,625;-39
19:36:02,656;-37
19:36:02,688;-35
19:36:02,719;-34
19:36:02,750;-32
19:36:02,781;-30
19:36:02,812;-29
19:36:02,844;-28
19:36:02,875;-27
19:36:02,906;-26
19:36:02,937;-26
19:36:02,969;-26
19:36:03,000;-27
19:36:03,031;-28
19:36:03,062;-29
19:36:03,094;-30
19:36:03,125;-31
19:36:03,156;-33
19:36:03,187;-35
19:36:03,219;-36
19:36:03,250;-38
19:36:03,281;-39
19:36:03,312;-40
19:36:03,344;-41
19:36:03,375;-41
19:36:03,406;-41
19:36:03,437;-41
19:36:03,469;-40
19:36:03,500;-39
19:36:03,531;-38
19:36:03,562;-36
19:36:03,594;-34
19:36:03,625;-31
19:36:03,656;-28
19:36:03,688;-26
19:36:03,719;-23
19:36:03,750;-20
19:36:03,781;-17
19:36:03,812;-14
19:36:03,844;-11
19:36:03,875;-8
19:36:03,906;-6
19:36:03,938;-4
19:36:03,969;-2
19:36:04,000;0
19:36:04,031;1
19:36:04,062;2
19:36:04,094;3
19:36:04,125;4
19:36:04,156;5
19:36:04,188;5
19:36:04,219;6
19:36:04,250;7
19:36:04,281;7
19:36:04,312;8
19:36:04,344;9
19:36:04,375;10
19:36:04,406;12
19:36:04,437;13
19:36:04,469;15
19:36:04,500;17
19:36:04,531;19
19:36:04,562;22
19:36:04,594;24
19:36:04,625;27
19:36:04,656;29
19:36:04,687;31
19:36:04,719;34
19:36:04,750;36
19:36:04,781;37
19:36:04,812;39
19:36:04,844;40
19:36:04,875;41
19:36:04,906;41
19:36:04,937;42
19:36:04,969;41
19:36:05,000;41
19:36:05,031;40
19:36:05,062;39
19:36:05,094;38
19:36:05,125;37
19:36:05,156;36
19:36:05,187;35
19:36:05,219;34
19:36:05,250;33
19:36:05,281;32
19:36:05,312;31
19:36:05,344;31
19:36:05,375;30
19:36:05,406;30
19:36:05,438;30
19:36:05,469;29
19:36:05,500;29
19:36:05,531;29
19:36:05,562;28
19:36:05,594;27
19:36:05,625;26
19:36:05,656;25
19:36:05,688;22
19:36:05,719;20
19:36:05,750;16
19:36:05,781;12
19:36:05,812;8
19:36:05,844;2
19:36:05,875;-4
19:36:05,906;-10
19:36:05,938;-17
19:36:05,969;-24
19:36:06,000;-32
19:36:06,031;-39
19:36:06,062;-46
19:36:06,094;-54
19:36:06,125;-60
19:36:06,156;-66
19:36:06,187;-72
19:36:06,219;-77
19:36:06,250;-80
19:36:06,281;-83
19:36:06,312;-85
19:36:06,344;-86
19:36:06,375;-85
19:36:06,406;-84
19:36:06,437;-81
19:36:06,469;-78
19:36:06,500;-74
19:36:06,531;-69
19:36:06,562;-64
19:36:06,594;-58
19:36:06,625;-51
19:36:06,656;-45
19:36:06,687;-38
19:36:06,719;-31
19:36:06,750;-25
19:36:06,781;-18
19:36:06,812;-12
19:36:06,844;-5
19:36:06,875;1
19:36:06,906;6
19:36:06,938;12
19:36:06,969;17
19:36:07,000;23
19:36:07,031;28
19:36:07,062;33
19:36:07,094;39
19:36:07,125;44
19:36:07,156;50
19:36:07,188;56
19:36:07,219;62
19:36:07,250;68
19:36:07,281;75
19:36:07,312;82
19:36:07,344;89
19:36:07,375;97
19:36:07,406;104
19:36:07,438;112
19:36:07,469;120
19:36:07,500;128
19:36:07,531;136
19:36:07,562;144
19:36:07,594;152
19:36:07,625;159
19:36:07,656;167
19:36:07,687;174
19:36:07,719;181
19:36:07,750;187
19:36:07,781;193
19:36:07,812;199
19:36:07,844;204
19:36:07,875;209
19:36:07,906;213
19:36:07,937;217
19:36:07,969;221
19:36:08,000;223
19:36:08,031;226
19:36:08,062;227
19:36:08,094;228
19:36:08,125;228
19:36:08,156;228
19:36:08,187;227
19:36:08,219;225
19:36:08,250;223
19:36:08,281;220
19:36:08,312;216
19:36:08,344;211
19:36:08,375;206
19:36:08,406;201
19:36:08,437;195
19:36:08,469;188
19:36:08,500;181
19:36:08,531;174
19:36:08,562;166
19:36:08,594;159
19:36:08,625;151
19:36:08,656;143
19:36:08,688;135
19:36:08,719;128
19:36:08,750;120
19:36:08,781;113
19:36:08,812;105
19:36:08,844;98
19:36:08,875;91
19:36:08,906;84
19:36:08,938;78
19:36:08,969;71
19:36:09,000;64
19:36:09,031;58
19:36:09,062;51
19:36:09,094;44
19:36:09,125;37
19:36:09,156;30
19:36:09,187;23
19:36:09,219;16
19:36:09,250;8
19:36:09,281;1
19:36:09,312;-6
19:36:09,344;-14
19:36:09,375;-21
19:36:09,406;-28
19:36:09,437;-35
19:36:09,469;-42
19:36:09,500;-48
19:36:09,531;-54
19:36:09,562;-59
19:36:09,594;-64
19:36:09,625;-68
19:36:09,656;-72
19:36:09,687;-74
19:36:09,719;-76
19:36:09,750;-78
19:36:09,781;-79
19:36:09,812;-79
19:36:09,844;-78
19:36:09,875;-78
19:36:09,906;-76
19:36:09,937;-75
19:36:09,969;-73
19:36:10,000;-71
19:36:10,031;-69
19:36:10,062;-67
19:36:10,094;-65
19:36:10,125;-63
19:36:10,156;-61
19:36:10,188;-60
19:36:10,219;-58
19:36:10,250;-57
19:36:10,281;-56
19:36:10,312;-55
19:36:10,344;-54
19:36:10,375;-53
19:36:10,406;-52
19:36:10,438;-51
19:36:10,469;-50
19:36:10,500;-49
19:36:10,531;-48
19:36:10,562;-46
19:36:10,594;-44
19:36:10,625;-42
19:36:10,656;-40
19:36:10,688;-37
19:36:10,719;-34
19:36:10,750;-31
19:36:10,781;-28
19:36:10,812;-24
19:36:10,844;-20
19:36:10,875;-16
19:36:10,906;-12
19:36:10,937;-8
19:36:10,969;-4
19:36:11,000;-1
19:36:11,031;3
19:36:11,062;6
19:36:11,094;9
19:36:11,125;11
19:36:11,156;13
19:36:11,187;15
19:36:11,219;16
19:36:11,250;18
19:36:11,281;18
19:36:11,312;19
19:36:11,344;19
19:36:11,375;19
19:36:11,406;19
19:36:11,437;19
19:36:11,469;19
19:36:11,500;19
19:36:11,531;19
19:36:11,562;20
19:36:11,594;20
19:36:11,625;21
19:36:11,656;22
19:36:11,688;23
19:36:11,719;24
19:36:11,750;25
19:36:11,781;27
19:36:11,812;28
19:36:11,844;29
19:36:11,875;31
19:36:11,906;32
19:36:11,938;32
19:36:11,969;33
19:36:12,000;32
19:36:12,031;32
19:36:12,062;31
19:36:12,094;29
19:36:12,125;26
19:36:12,156;23
19:36:12,188;20
19:36:12,219;15
19:36:12,250;11
19:36:12,281;5
19:36:12,312;0
19:36:12,344;-7
19:36:12,375;-13
19:36:12,406;-19
19:36:12,437;-26
19:36:12,469;-33
19:36:12,500;-39
19:36:12,531;-45
19:36:12,562;-51
19:36:12,594;-57
19:36:12,625;-61
19:36:12,656;-66
19:36:12,687;-70
19:36:12,719;-73
19:36:12,750;-75
19:36:12,781;-77
19:36:12,812;-78
19:36:12,844;-79
19:36:12,875;-78
19:36:12,906;-77
19:36:12,937;-75
19:36:12,969;-73
19:36:13,000;-70
19:36:13,031;-67
19:36:13,062;-62
19:36:13,094;-58
19:36:13,125;-53
19:36:13,156;-48
19:36:13,187;-42
19:36:13,219;-37
19:36:13,250;-31
19:36:13,281;-25
19:36:13,312;-19
19:36:13,344;-13
19:36:13,375;-7
19:36:13,406;-2
19:36:13,438;4
19:36:13,469;9
19:36:13,500;14
19:36:13,531;19
19:36:13,562;23
19:36:13,594;27
19:36:13,625;31
19:36:13,656;34
19:36:13,688;37
19:36:13,719;40
19:36:13,750;42
19:36:13,781;45
19:36:13,812;47
19:36:13,844;49
19:36:13,875;52
19:36:13,906;54
19:36:13,938;57
19:36:13,969;59
19:36:14,000;62
19:36:14,031;65
19:36:14,062;68
19:36:14,094;72
19:36:14,125;76
19:36:14,156;80
19:36:14,187;84
19:36:14,219;89
19:36:14,250;93
19:36:14,281;98
19:36:14,312;102
19:36:14,344;106
19:36:14,375;110
19:36:14,406;114
19:36:14,437;117
19:36:14,469;120
19:36:14,500;122
19:36:14,531;124
19:36:14,562;124
19:36:14,594;125
19:36:14,625;124
19:36:14,656;123
19:36:14,687;120
19:36:14,719;118
19:36:14,750;114
19:36:14,781;110
19:36:14,812;105
19:36:14,844;100
19:36:14,875;94
19:36:14,906;88
19:36:14,938;82
19:36:14,969;75
19:36:15,000;68
19:36:15,031;61
19:36:15,062;54
19:36:15,094;47
19:36:15,125;40
19:36:15,156;33
19:36:15,188;26
19:36:15,219;19
19:36:15,250;12
19:36:15,281;6
19:36:15,312;-1
19:36:15,344;-7
19:36:15,375;-12
19:36:15,406;-18
19:36:15,438;-23
19:36:15,469;-28
19:36:15,500;-32
19:36:15,531;-36
19:36:15,562;-40
19:36:15,594;-43
19:36:15,625;-46
19:36:15,656;-48
19:36:15,687;-49
19:36:15,719;-51
19:36:15,750;-51
19:36:15,781;-51
19:36:15,812;-51
19:36:15,844;-50
19:36:15,875;-49
19:36:15,906;-48
19:36:15,937;-46
19:36:15,969;-44
19:36:16,000;-41
19:36:16,031;-39
19:36:16,062;-36
19:36:16,094;-34
19:36:16,125;-31
19:36:16,156;-29
19:36:16,187;-27
19:36:16,219;-25
19:36:16,250;-23
19:36:16,281;-22
19:36:16,312;-20
19:36:16,344;-20
19:36:16,375;-19
19:36:16,406;-19
19:36:16,438;-19
19:36:16,469;-19
19:36:16,500;-20
19:36:16,531;-20
19:36:16,562;-21
19:36:16,594;-21
19:36:16,625;-22
19:36:16,656;-22
19:36:16,688;-22
19:36:16,719;-22
19:36:16,750;-21
19:36:16,781;-20
19:36:16,812;-19
19:36:16,844;-18
19:36:16,875;-16
19:36:16,906;-13
19:36:16,938;-11
19:36:16,969;-8
19:36:17,000;-4
19:36:17,031;-1
19:36:17,062;3
19:36:17,094;6
19:36:17,125;10
19:36:17,156;14
19:36:17,187;18
19:36:17,219;21
19:36:17,250;25
19:36:17,281;28
19:36:17,312;31
19:36:17,344;33
19:36:17,375;35
19:36:17,406;37
19:36:17,437;38
19:36:17,469;39
19:36:17,500;40
19:36:17,531;41
19:36:17,562;41
19:36:17,594;41
19:36:17,625;41
19:36:17,656;40
19:36:17,687;40
19:36:17,719;39
19:36:17,750;39
19:36:17,781;38
19:36:17,812;38
19:36:17,844;38
19:36:17,875;37
19:36:17,906;37
19:36:17,937;37
19:36:17,969;37
19:36:18,000;37
19:36:18,031;37
19:36:18,062;37
19:36:18,094;36
19:36:18,125;36
19:36:18,156;36
19:36:18,188;35
19:36:18,219;35
19:36:18,250;34
19:36:18,281;33
19:36:18,312;32
19:36:18,344;31
19:36:18,375;29
19:36:18,406;27
19:36:18,438;25
19:36:18,469;23
19:36:18,500;21
19:36:18,531;19
19:36:18,562;17
19:36:18,594;14
19:36:18,625;12
19:36:18,656;9
19:36:18,688;7
19:36:18,719;5
19:36:18,750;2
19:36:18,781;0
19:36:18,812;-3
19:36:18,844;-5
19:36:18,875;-7
19:36:18,906;-10
19:36:18,937;-12
19:36:18,969;-14
19:36:19,000;-17
19:36:19,031;-19
19:36:19,062;-21
19:36:19,094;-24
19:36:19,125;-26
19:36:19,156;-29
19:36:19,187;-31
19:36:19,219;-33
19:36:19,250;-35
19:36:19,281;-37
19:36:19,312;-39
19:36:19,344;-41
19:36:19,375;-43
19:36:19,406;-44
19:36:19,437;-45
19:36:19,469;-46
19:36:19,500;-46
19:36:19,531;-46
19:36:19,562;-45
19:36:19,594;-44
19:36:19,625;-42
19:36:19,656;-40
19:36:19,688;-37
19:36:19,719;-33
19:36:19,750;-29
19:36:19,781;-24
19:36:19,812;-19
19:36:19,844;-13
19:36:19,875;-6
19:36:19,906;1
19:36:19,938;9
19:36:19,969;18
19:36:20,000;26
19:36:20,031;35
19:36:20,062;45
19:36:20,094;54
19:36:20,125;64
19:36:20,156;74
19:36:20,188;83
19:36:20,219;93
19:36:20,250;102
19:36:20,281;111
19:36:20,312;120
19:36:20,344;128
19:36:20,375;135
19:36:20,406;142
19:36:20,437;148
19:36:20,469;154
19:36:20,500;159
19:36:20,531;163
19:36:20,562;166
19:36:20,594;168
19:36:20,625;170
19:36:20,656;171
19:36:20,687;171
19:36:20,719;170
19:36:20,750;169
19:36:20,781;166
19:36:20,812;164
19:36:20,844;161
19:36:20,875;157
19:36:20,906;153
19:36:20,937;148
19:36:20,969;143
19:36:21,000;138
19:36:21,031;132
19:36:21,062;126
19:36:21,094;119
19:36:21,125;113
19:36:21,156;106
19:36:21,187;99
19:36:21,219;92
19:36:21,250;84
19:36:21,281;77
19:36:21,312;70
19:36:21,344;62
19:36:21,375;55
19:36:21,406;47
19:36:21,438;40
19:36:21,469;33
19:36:21,500;26
19:36:21,531;20
19:36:21,562;14
19:36:21,594;8
19:36:21,625;2
19:36:21,656;-3
19:36:21,688;-7
19:36:21,719;-12
19:36:21,750;-15
19:36:21,781;-19
19:36:21,812;-22
19:36:21,844;-24
19:36:21,875;-27
19:36:21,906;-29
19:36:21,937;-30
19:36:21,969;-32
19:36:22,000;-33
19:36:22,031;-34
19:36:22,062;-35
19:36:22,094;-35
19:36:22,125;-36
19:36:22,156;-37
19:36:22,187;-37
19:36:22,219;-38
19:36:22,250;-38
19:36:22,281;-39
19:36:22,312;-39
19:36:22,344;-39
19:36:22,375;-40
19:36:22,406;-40
19:36:22,437;-40
19:36:22,469;-40
19:36:22,500;-39
19:36:22,531;-39
19:36:22,562;-38
19:36:22,594;-37
19:36:22,625;-36
19:36:22,656;-34
19:36:22,687;-32
19:36:22,719;-30
19:36:22,750;-28
19:36:22,781;-26
19:36:22,812;-23
19:36:22,844;-20
19:36:22,875;-17
19:36:22,906;-15
19:36:22,938;-12
19:36:22,969;-9
19:36:23,000;-6
19:36:23,031;-4
19:36:23,062;-1
19:36:23,094;1
19:36:23,125;3
19:36:23,156;5
19:36:23,188;6
19:36:23,219;8
19:36:23,250;9
19:36:23,281;9
19:36:23,312;10
19:36:23,344;10
19:36:23,375;10
19:36:23,406;10
19:36:23,438;9
19:36:23,469;9
19:36:23,500;8
19:36:23,531;8
19:36:23,562;7
19:36:23,594;7
19:36:23,625;7
19:36:23,656;7
19:36:23,687;7
19:36:23,719;8
19:36:23,750;9
19:36:23,781;10
19:36:23,812;11
19:36:23,844;12
19:36:23,875;14
19:36:23,906;16
19:36:23,937;18
19:36:23,969;20
19:36:24,000;22
19:36:24,031;24
19:36:24,062;25
19:36:24,094;27
19:36:24,125;28
19:36:24,156;28
19:36:24,187;28
19:36:24,219;28
19:36:24,250;27
19:36:24,281;25
19:36:24,312;23
19:36:24,344;20
19:36:24,375;16
19:36:24,406;12
19:36:24,438;8
19:36:24,469;3
19:36:24,500;-3
19:36:24,531;-9
19:36:24,562;-15
19:36:24,594;-21
19:36:24,625;-28
19:36:24,656;-34
19:36:24,688;-40
19:36:24,719;-46
19:36:24,750;-52
19:36:24,781;-58
19:36:24,812;-63
19:36:24,844;-68
19:36:24,875;-72
19:36:24,906;-76
19:36:24,938;-79
19:36:24,969;-82
19:36:25,000;-85
19:36:25,031;-87
19:36:25,062;-88
19:36:25,094;-89
19:36:25,125;-89
19:36:25,156;-89
19:36:25,187;-88
19:36:25,219;-87
19:36:25,250;-85
19:36:25,281;-82
19:36:25,312;-79
19:36:25,344;-75
19:36:25,375;-71
19:36:25,406;-65
19:36:25,437;-59
19:36:25,469;-52
19:36:25,500;-45
19:36:25,531;-37
19:36:25,562;-28
19:36:25,594;-19
19:36:25,625;-9
19:36:25,656;1
19:36:25,687;11
19:36:25,719;22
19:36:25,750;32
19:36:25,781;43
19:36:25,812;53
19:36:25,844;64
19:36:25,875;74
19:36:25,906;83
19:36:25,937;92
19:36:25,969;101
19:36:26,000;109
19:36:26,031;117
19:36:26,062;124
19:36:26,094;131
19:36:26,125;137
19:36:26,156;143
19:36:26,188;148
19:36:26,219;152
19:36:26,250;157
19:36:26,281;161
19:36:26,312;164
19:36:26,344;168
19:36:26,375;171
19:36:26,406;173
19:36:26,438;176
19:36:26,469;178
19:36:26,500;180
19:36:26,531;182
19:36:26,562;183
19:36:26,594;183
19:36:26,625;184
19:36:26,656;183
19:36:26,687;182
19:36:26,719;181
19:36:26,750;178
19:36:26,781;176
19:36:26,812;172
19:36:26,844;168
19:36:26,875;163
19:36:26,906;157
19:36:26,937;151
19:36:26,969;144
19:36:27,000;137
19:36:27,031;130
19:36:27,062;122
19:36:27,094;114
19:36:27,125;106
19:36:27,156;98
19:36:27,187;90
19:36:27,219;82
19:36:27,250;74
19:36:27,281;67
19:36:27,312;59
19:36:27,344;52
19:36:27,375;45
19:36:27,406;38
19:36:27,437;32
19:36:27,469;26
19:36:27,500;20
19:36:27,531;14
19:36:27,562;8
19:36:27,594;2
19:36:27,625;-4
19:36:27,656;-10
19:36:27,688;-16
19:36:27,719;-22
19:36:27,750;-28
19:36:27,781;-33
19:36:27,812;-39
19:36:27,844;-45
19:36:27,875;-50
19:36:27,906;-56
19:36:27,938;-61
19:36:27,969;-66
19:36:28,000;-70
19:36:28,031;-74
19:36:28,062;-77
19:36:28,094;-80
19:36:28,125;-83
19:36:28,156;-85
19:36:28,188;-86
19:36:28,219;-87
19:36:28,250;-87
19:36:28,281;-87
19:36:28,312;-86
19:36:28,344;-85
19:36:28,375;-84
19:36:28,406;-83
19:36:28,437;-81
19:36:28,469;-79
19:36:28,500;-77
19:36:28,531;-75
19:36:28,562;-74
19:36:28,594;-72
19:36:28,625;-71
19:36:28,656;-70
19:36:28,687;-69
19:36:28,719;-68
19:36:28,750;-67
19:36:28,781;-67
19:36:28,812;-67
19:36:28,844;-66
19:36:28,875;-66
19:36:28,906;-66
19:36:28,937;-66
19:36:28,969;-66
19:36:29,000;-65
19:36:29,031;-65
19:36:29,062;-64
19:36:29,094;-62
19:36:29,125;-61
19:36:29,156;-59
19:36:29,188;-56
19:36:29,219;-54
19:36:29,250;-51
19:36:29,281;-47
19:36:29,312;-44
19:36:29,344;-40
19:36:29,375;-36
19:36:29,406;-32
19:36:29,438;-28
19:36:29,469;-24
19:36:29,500;-20
19:36:29,531;-17
19:36:29,562;-14
19:36:29,594;-11
19:36:29,625;-8
19:36:29,656;-6
19:36:29,688;-5
19:36:29,719;-4
19:36:29,750;-3
19:36:29,781;-3
19:36:29,812;-3
19:36:29,844;-4
19:36:29,875;-4
19:36:29,906;-6
19:36:29,937;-7
19:36:29,969;-9
19:36:30,000;-11
19:36:30,031;-13
19:36:30,062;-15
19:36:30,094;-18
19:36:30,125;-21
19:36:30,156;-23
19:36:30,187;-27
19:36:30,219;-30
19:36:30,250;-34
19:36:30,281;-38
19:36:30,312;-43
19:36:30,344;-48
19:36:30,375;-53
19:36:30,406;-59
19:36:30,437;-65
19:36:30,469;-72
19:36:30,500;-79
19:36:30,531;-87
19:36:30,562;-95
19:36:30,594;-102
19:36:30,625;-111
19:36:30,656;-119
19:36:30,687;-126
19:36:30,719;-134
19:36:30,750;-141
19:36:30,781;-147
19:36:30,812;-152
19:36:30,844;-157
19:36:30,875;-160
19:36:30,906;-162
19:36:30,938;-163
19:36:30,969;-163
19:36:31,000;-162
19:36:31,031;-159
19:36:31,062;-155
19:36:31,094;-150
19:36:31,125;-143
19:36:31,156;-136
19:36:31,188;-128
19:36:31,219;-119
19:36:31,250;-109
19:36:31,281;-99
19:36:31,312;-89
19:36:31,344;-79
19:36:31,375;-68
19:36:31,406;-58
19:36:31,438;-47
19:36:31,469;-37
19:36:31,500;-27
19:36:31,531;-17
19:36:31,562;-8
19:36:31,594;1
19:36:31,625;10
19:36:31,656;19
19:36:31,687;27
19:36:31,719;36
19:36:31,750;44
19:36:31,781;52
19:36:31,812;60
19:36:31,844;68
19:36:31,875;76
19:36:31,906;84
19:36:31,937;92
19:36:31,969;99
19:36:32,000;106
19:36:32,031;113
19:36:32,062;120
19:36:32,094;125
19:36:32,125;131
19:36:32,156;135
19:36:32,187;139
19:36:32,219;142
19:36:32,250;144
19:36:32,281;145
19:36:32,312;145
19:36:32,344;144
19:36:32,375;143
19:36:32,406;140
19:36:32,438;137
19:36:32,469;133
19:36:32,500;129
19:36:32,531;124
19:36:32,562;119
19:36:32,594;113
19:36:32,625;107
19:36:32,656;101
19:36:32,688;96
19:36:32,719;90
19:36:32,750;84
19:36:32,781;79
19:36:32,812;74
19:36:32,844;68
19:36:32,875;63
19:36:32,906;59
19:36:32,938;54
19:36:32,969;49
19:36:33,000;45
19:36:33,031;40
19:36:33,062;35
19:36:33,094;30
19:36:33,125;26
19:36:33,156;21
19:36:33,187;16
19:36:33,219;10
19:36:33,250;5
19:36:33,281;0
19:36:33,312;-5
19:36:33,344;-10
19:36:33,375;-14
19:36:33,406;-19
19:36:33,437;-23
19:36:33,469;-27
19:36:33,500;-30
19:36:33,531;-33
19:36:33,562;-35
19:36:33,594;-37
19:36:33,625;-38
19:36:33,656;-39
19:36:33,687;-39
19:36:33,719;-39
19:36:33,750;-38
19:36:33,781;-37
19:36:33,812;-36
19:36:33,844;-35
19:36:33,875;-33
19:36:33,906;-32
19:36:33,938;-31
19:36:33,969;-30
19:36:34,000;-29
19:36:34,031;-29
19:36:34,062;-28
19:36:34,094;-28
19:36:34,125;-29
19:36:34,156;-30
19:36:34,188;-31
19:36:34,219;-32
19:36:34,250;-34
19:36:34,281;-36
19:36:34,312;-38
19:36:34,344;-40
19:36:34,375;-42
19:36:34,406;-44
19:36:34,438;-46
19:36:34,469;-48
19:36:34,500;-49
19:36:34,531;-50
19:36:34,562;-51
19:36:34,594;-51
19:36:34,625;-51
19:36:34,656;-50
19:36:34,687;-49
19:36:34,719;-47
19:36:34,750;-44
19:36:34,781;-42
19:36:34,812;-38
19:36:34,844;-35
19:36:34,875;-31
19:36:34,906;-27
19:36:34,937;-22
19:36:34,969;-18
19:36:35,000;-13
19:36:35,031;-9
19:36:35,062;-4
19:36:35,094;0
19:36:35,125;4
19:36:35,156;8
19:36:35,187;12
19:36:35,219;15
19:36:35,250;18
19:36:35,281;21
19:36:35,312;23
19:36:35,344;25
19:36:35,375;27
19:36:35,406;29
19:36:35,437;30
19:36:35,469;32
19:36:35,500;33
19:36:35,531;34
19:36:35,562;35
19:36:35,594;36
19:36:35,625;38
19:36:35,656;39
19:36:35,688;41
19:36:35,719;42
19:36:35,750;44
19:36:35,781;46
19:36:35,812;49
19:36:35,844;51
19:36:35,875;54
19:36:35,906;56
19:36:35,938;59
19:36:35,969;61
19:36:36,000;63
19:36:36,031;65
19:36:36,062;67
19:36:36,094;68
19:36:36,125;69
19:36:36,156;69
19:36:36,188;68
19:36:36,219;67
19:36:36,250;66
19:36:36,281;63
19:36:36,312;60
19:36:36,344;56
19:36:36,375;51
19:36:36,406;46
19:36:36,437;40
19:36:36,469;33
19:36:36,500;26
19:36:36,531;18
19:36:36,562;10
19:36:36,594;1
19:36:36,625;-9
19:36:36,656;-18
19:36:36,687;-28
19:36:36,719;-39
19:36:36,750;-50
19:36:36,781;-61
19:36:36,812;-72
19:36:36,844;-84
19:36:36,875;-95
19:36:36,906;-107
19:36:36,937;-119
19:36:36,969;-131
19:36:37,000;-143
19:36:37,031;-155
19:36:37,062;-167
19:36:37,094;-179
19:36:37,125;-190
19:36:37,156;-201
19:36:37,188;-211
19:36:37,219;-221
19:36:37,250;-230
19:36:37,281;-238
19:36:37,312;-245
19:36:37,344;-251
19:36:37,375;-256
19:36:37,406;-260
19:36:37,438;-263
19:36:37,469;-264
19:36:37,500;-264
19:36:37,531;-262
19:36:37,562;-260
19:36:37,594;-256
19:36:37,625;-251
19:36:37,656;-245
19:36:37,688;-239
19:36:37,719;-231
19:36:37,750;-222
19:36:37,781;-214
19:36:37,812;-204
19:36:37,844;-194
19:36:37,875;-184
19:36:37,906;-174
19:36:37,937;-164
19:36:37,969;-154
19:36:38,000;-144
19:36:38,031;-134
19:36:38,062;-124
19:36:38,094;-114
19:36:38,125;-104
19:36:38,156;-95
19:36:38,187;-85
19:36:38,219;-76
19:36:38,250;-66
19:36:38,281;-57
19:36:38,312;-48
19:36:38,344;-38
19:36:38,375;-29
19:36:38,406;-20
19:36:38,437;-10
19:36:38,469;-1
19:36:38,500;8
19:36:38,531;17
19:36:38,562;26
19:36:38,594;34
19:36:38,625;42
19:36:38,656;50
19:36:38,687;57
19:36:38,719;64
19:36:38,750;70
19:36:38,781;75
19:36:38,812;80
19:36:38,844;84
19:36:38,875;87
19:36:38,906;89
19:36:38,938;90
19:36:38,969;91
19:36:39,000;90
19:36:39,031;89
19:36:39,062;87
19:36:39,094;84
19:36:39,125;81
19:36:39,156;77
19:36:39,188;72
19:36:39,219;67
19:36:39,250;62
19:36:39,281;56
19:36:39,312;49
19:36:39,344;43
19:36:39,375;36
19:36:39,406;28
19:36:39,437;21
19:36:39,469;14
19:36:39,500;6
19:36:39,531;-1
19:36:39,562;-9
19:36:39,594;-16
19:36:39,625;-23
19:36:39,656;-30
19:36:39,687;-36
19:36:39,719;-42
19:36:39,750;-48
19:36:39,781;-52
19:36:39,812;-57
19:36:39,844;-60
19:36:39,875;-63
19:36:39,906;-65
19:36:39,937;-66
19:36:39,969;-67
19:36:40,000;-66
19:36:40,031;-65
19:36:40,062;-63
19:36:40,094;-61
19:36:40,125;-57
19:36:40,156;-54
19:36:40,187;-49
19:36:40,219;-44
19:36:40,250;-39
19:36:40,281;-34
19:36:40,312;-29
19:36:40,344;-23
19:36:40,375;-18
19:36:40,406;-13
19:36:40,438;-8
19:36:40,469;-3
19:36:40,500;1
19:36:40,531;5
19:36:40,562;8
19:36:40,594;11
19:36:40,625;14
19:36:40,656;16
19:36:40,688;18
19:36:40,719;20
19:36:40,750;21
19:36:40,781;22
19:36:40,812;24
19:36:40,844;25
19:36:40,875;26
19:36:40,906;28
19:36:40,938;30
19:36:40,969;32
19:36:41,000;35
19:36:41,031;38
19:36:41,062;42
19:36:41,094;46
19:36:41,125;50
19:36:41,156;55
19:36:41,187;60
19:36:41,219;66
19:36:41,250;72
19:36:41,281;78
19:36:41,312;84
19:36:41,344;90
19:36:41,375;96
19:36:41,406;102
19:36:41,437;107
19:36:41,469;112
19:36:41,500;117
19:36:41,531;121
19:36:41,562;124
19:36:41,594;127
19:36:41,625;129
19:36:41,656;131
19:36:41,687;132
19:36:41,719;132
19:36:41,750;132
19:36:41,781;131
19:36:41,812;129
19:36:41,844;128
19:36:41,875;125
19:36:41,906;123
19:36:41,938;121
19:36:41,969;118
19:36:42,000;115
19:36:42,031;113
19:36:42,062;110
19:36:42,094;108
19:36:42,125;106
19:36:42,156;104
19:36:42,188;103
19:36:42,219;101
19:36:42,250;100
19:36:42,281;100
19:36:42,312;99
19:36:42,344;99
19:36:42,375;98
19:36:42,406;98
19:36:42,438;98
19:36:42,469;98
19:36:42,500;97
19:36:42,531;97
19:36:42,562;96
19:36:42,594;96
19:36:42,625;94
19:36:42,656;93
19:36:42,687;91
19:36:42,719;89
19:36:42,750;87
19:36:42,781;85
19:36:42,812;82
19:36:42,844;79
19:36:42,875;76
19:36:42,906;73
19:36:42,937;69
19:36:42,969;66
19:36:43,000;62
19:36:43,031;59
19:36:43,062;55
19:36:43,094;52
19:36:43,125;48
19:36:43,156;44
19:36:43,187;40
19:36:43,219;35
19:36:43,250;31
19:36:43,281;26
19:36:43,312;20
19:36:43,344;14
19:36:43,375;8
